State,District,Gerrymander Index
North Carolina,12.0,9.067
Florida,5.0,7.988
Maryland,3.0,7.796
Hawaii,2.0,7.775
North Carolina,1.0,7.771
North Carolina,4.0,7.486
Texas,35.0,7.33
Pennsylvania,7.0,7.306
Louisiana,2.0,6.732
North Carolina,13.0,6.591
Louisiana,6.0,6.25
New York,10.0,6.004
Illinois,4.0,5.981
North Carolina,9.0,5.961
Pennsylvania,17.0,5.929
Texas,33.0,5.917
Maryland,6.0,5.746
Maryland,2.0,5.668
South Carolina,6.0,5.579
Maryland,8.0,5.563
West Virginia,2.0,5.548
South Carolina,1.0,5.521
Texas,2.0,5.484
Pennsylvania,6.0,5.418
New York,7.0,5.412
Virginia,3.0,5.396
Massachusetts,7.0,5.388
Louisiana,5.0,5.384
Maryland,4.0,5.361
North Carolina,2.0,5.281
Pennsylvania,12.0,5.111
Maryland,7.0,5.078
Pennsylvania,13.0,5.067
Pennsylvania,1.0,5.013
North Carolina,3.0,5.005
Alaska,0.0,4.984
Texas,15.0,4.942
Texas,29.0,4.936
Texas,34.0,4.936
Texas,18.0,4.931
Kentucky,2.0,4.905
Ohio,3.0,4.874
New Jersey,8.0,4.856
Kentucky,4.0,4.805
Texas,28.0,4.786
Kentucky,1.0,4.781
Virginia,11.0,4.777
North Carolina,7.0,4.751
Arizona,4.0,4.7
Michigan,14.0,4.695
Tennessee,2.0,4.683
Arkansas,1.0,4.648
Ohio,13.0,4.627
Pennsylvania,11.0,4.625
West Virginia,1.0,4.624
Tennessee,3.0,4.623
Virginia,10.0,4.597
Texas,22.0,4.555
Mississippi,2.0,4.501
Texas,25.0,4.477
Florida,22.0,4.475
Virginia,7.0,4.452
California,42.0,4.451
New Jersey,6.0,4.441
Arizona,9.0,4.397
Louisiana,1.0,4.396
Colorado,1.0,4.36
North Carolina,6.0,4.358
Alabama,7.0,4.35
Alabama,6.0,4.337
California,47.0,4.336
Pennsylvania,9.0,4.332
Texas,9.0,4.331
Ohio,6.0,4.327
Massachusetts,8.0,4.317
Pennsylvania,15.0,4.315
Arkansas,3.0,4.313
Pennsylvania,14.0,4.312
Pennsylvania,10.0,4.309
Texas,14.0,4.293
Virginia,5.0,4.269
Pennsylvania,16.0,4.253
Texas,32.0,4.218
Virginia,6.0,4.217
Illinois,11.0,4.213
Tennessee,4.0,4.208
Texas,10.0,4.207
Florida,4.0,4.194
Florida,26.0,4.178
Texas,27.0,4.176
Ohio,16.0,4.169
California,52.0,4.145
Illinois,5.0,4.141
New Jersey,10.0,4.138
California,31.0,4.128
Illinois,1.0,4.101
Illinois,7.0,4.07
New Jersey,12.0,4.047
Texas,5.0,4.046
New Hampshire,2.0,4.046
Massachusetts,5.0,4.044
Alabama,1.0,4.043
Massachusetts,4.0,4.037
South Carolina,2.0,4.032
Louisiana,4.0,4.03
Mississippi,3.0,4.03
Ohio,7.0,4.029
Virginia,9.0,4.026
Oregon,5.0,4.019
California,2.0,4.013
Texas,7.0,4.012
Texas,20.0,4.009
Georgia,13.0,4.007
Georgia,8.0,4.007
California,24.0,3.99
Illinois,6.0,3.983
West Virginia,3.0,3.971
New Hampshire,1.0,3.963
North Carolina,5.0,3.936
Maryland,1.0,3.923
Maine,1.0,3.923
Colorado,6.0,3.921
Ohio,4.0,3.913
California,3.0,3.891
Ohio,15.0,3.889
Pennsylvania,18.0,3.879
New Jersey,3.0,3.866
California,26.0,3.854
Georgia,12.0,3.851
Missouri,5.0,3.831
Texas,17.0,3.828
Wisconsin,3.0,3.812
Ohio,11.0,3.765
Ohio,1.0,3.762
Alabama,4.0,3.757
Ohio,12.0,3.754
Indiana,8.0,3.737
California,33.0,3.734
Virginia,1.0,3.729
Illinois,17.0,3.727
New Jersey,5.0,3.727
Texas,21.0,3.716
California,21.0,3.711
Kentucky,6.0,3.71
New Jersey,7.0,3.703
Idaho,1.0,3.696
Virginia,2.0,3.693
California,22.0,3.691
California,32.0,3.672
Florida,10.0,3.672
Arizona,8.0,3.67
California,23.0,3.668
Colorado,7.0,3.652
Illinois,9.0,3.648
Virginia,4.0,3.647
Illinois,13.0,3.647
Texas,11.0,3.645
Texas,4.0,3.642
Texas,23.0,3.641
Connecticut,1.0,3.633
New Jersey,1.0,3.616
California,53.0,3.611
Tennessee,9.0,3.604
California,5.0,3.601
Florida,20.0,3.6
New Jersey,9.0,3.596
South Carolina,5.0,3.595
California,35.0,3.581
North Carolina,11.0,3.579
Alabama,3.0,3.578
New Jersey,4.0,3.576
Illinois,14.0,3.571
Illinois,15.0,3.56
Alabama,2.0,3.547
Massachusetts,3.0,3.545
Texas,30.0,3.53
California,28.0,3.53
Michigan,13.0,3.528
Tennessee,1.0,3.518
Utah,3.0,3.513
Oklahoma,1.0,3.508
Georgia,1.0,3.508
Illinois,12.0,3.49
Missouri,6.0,3.482
North Carolina,10.0,3.475
Washington,8.0,3.471
Arizona,1.0,3.462
New York,8.0,3.459
Texas,36.0,3.457
Florida,7.0,3.456
North Carolina,8.0,3.439
California,51.0,3.438
California,19.0,3.421
Florida,23.0,3.411
Florida,6.0,3.405
Arizona,3.0,3.399
California,25.0,3.392
Michigan,11.0,3.392
Tennessee,7.0,3.391
Florida,24.0,3.369
Texas,6.0,3.368
Oklahoma,4.0,3.353
California,16.0,3.351
California,41.0,3.347
Missouri,4.0,3.343
Missouri,3.0,3.342
California,6.0,3.34
Illinois,18.0,3.339
Texas,1.0,3.335
Pennsylvania,3.0,3.334
Illinois,10.0,3.333
New York,9.0,3.306
New Jersey,11.0,3.306
Utah,4.0,3.303
Illinois,8.0,3.293
Illinois,3.0,3.292
California,49.0,3.288
Connecticut,3.0,3.285
Michigan,12.0,3.281
Florida,14.0,3.277
New York,22.0,3.276
California,8.0,3.273
Ohio,2.0,3.27
Tennessee,8.0,3.268
Michigan,5.0,3.263
Texas,8.0,3.261
Connecticut,5.0,3.241
Florida,19.0,3.241
Kentucky,5.0,3.239
California,30.0,3.227
Rhode Island,1.0,3.224
Oregon,3.0,3.22
California,14.0,3.22
Colorado,2.0,3.219
Minnesota,6.0,3.217
California,34.0,3.216
California,48.0,3.207
Georgia,6.0,3.198
South Carolina,7.0,3.194
Washington,7.0,3.191
Tennessee,6.0,3.188
Oklahoma,2.0,3.186
Oklahoma,5.0,3.185
California,10.0,3.185
Washington,4.0,3.182
Arkansas,2.0,3.179
Florida,21.0,3.173
Connecticut,4.0,3.171
Georgia,10.0,3.163
Texas,13.0,3.153
Texas,12.0,3.15
Florida,15.0,3.149
Alabama,5.0,3.146
Georgia,7.0,3.138
California,29.0,3.131
Tennessee,5.0,3.129
Ohio,9.0,3.126
Massachusetts,9.0,3.123
California,44.0,3.123
California,40.0,3.122
Pennsylvania,5.0,3.116
Maryland,5.0,3.113
Illinois,16.0,3.112
Washington,9.0,3.109
New York,19.0,3.084
Washington,10.0,3.074
Massachusetts,2.0,3.06
California,4.0,3.053
Georgia,3.0,3.052
Washington,1.0,3.049
Ohio,8.0,3.045
New Jersey,2.0,3.043
South Carolina,3.0,3.04
Pennsylvania,8.0,3.039
Louisiana,3.0,3.039
Oklahoma,3.0,3.035
California,11.0,3.029
Virginia,8.0,3.028
South Carolina,4.0,3.026
Maine,2.0,3.022
California,50.0,3.018
New York,5.0,3.018
Texas,19.0,3.009
Florida,25.0,3.003
Michigan,3.0,3.0
Washington,3.0,3.0
Oregon,1.0,2.998
New Mexico,1.0,2.988
New York,18.0,2.982
Georgia,2.0,2.974
Missouri,2.0,2.967
Rhode Island,2.0,2.96
Arkansas,4.0,2.956
Texas,24.0,2.956
California,18.0,2.945
Massachusetts,6.0,2.94
Wisconsin,7.0,2.928
Missouri,1.0,2.926
Georgia,9.0,2.916
California,12.0,2.909
Minnesota,7.0,2.906
Iowa,1.0,2.903
Nevada,3.0,2.902
California,1.0,2.897
Georgia,14.0,2.895
Georgia,4.0,2.895
Florida,9.0,2.892
Florida,11.0,2.889
Georgia,11.0,2.883
California,38.0,2.881
California,39.0,2.875
Missouri,8.0,2.871
Idaho,2.0,2.869
Utah,1.0,2.858
Arizona,6.0,2.847
California,43.0,2.842
Nebraska,1.0,2.839
Texas,31.0,2.824
Wisconsin,6.0,2.811
Hawaii,1.0,2.81
California,27.0,2.808
New York,14.0,2.802
Florida,3.0,2.797
Michigan,9.0,2.796
Washington,2.0,2.794
Iowa,2.0,2.791
Michigan,7.0,2.79
Massachusetts,1.0,2.785
California,17.0,2.785
Florida,2.0,2.784
California,15.0,2.777
Florida,17.0,2.765
California,45.0,2.763
Minnesota,2.0,2.76
Mississippi,1.0,2.757
New York,23.0,2.733
Indiana,9.0,2.73
Ohio,5.0,2.713
Kentucky,3.0,2.713
Florida,8.0,2.709
Kansas,2.0,2.701
Florida,27.0,2.693
New York,20.0,2.687
Colorado,3.0,2.676
New York,27.0,2.657
Pennsylvania,4.0,2.647
Minnesota,1.0,2.646
Wisconsin,8.0,2.632
Florida,1.0,2.624
New York,13.0,2.624
Utah,2.0,2.621
California,36.0,2.617
Minnesota,3.0,2.614
Mississippi,4.0,2.605
Illinois,2.0,2.598
Florida,13.0,2.582
New York,17.0,2.567
Oregon,4.0,2.563
Colorado,5.0,2.561
California,9.0,2.561
Michigan,8.0,2.556
Minnesota,8.0,2.555
Nebraska,3.0,2.554
Florida,12.0,2.554
New York,6.0,2.548
New York,16.0,2.541
New Mexico,3.0,2.54
Arizona,7.0,2.534
Colorado,4.0,2.531
Delaware,0.0,2.531
Florida,16.0,2.53
Vermont,0.0,2.529
California,20.0,2.522
Indiana,5.0,2.52
Wisconsin,5.0,2.51
Georgia,5.0,2.495
Wisconsin,1.0,2.494
Ohio,10.0,2.492
New Mexico,2.0,2.49
Michigan,1.0,2.473
Nebraska,2.0,2.458
Florida,18.0,2.457
Texas,3.0,2.453
Kansas,4.0,2.448
New York,11.0,2.434
New York,2.0,2.43
Ohio,14.0,2.429
California,46.0,2.427
Pennsylvania,2.0,2.411
New York,1.0,2.39
Kansas,1.0,2.369
Nevada,4.0,2.365
Iowa,4.0,2.363
Michigan,4.0,2.358
Washington,6.0,2.351
Missouri,7.0,2.349
Indiana,4.0,2.349
Connecticut,2.0,2.344
Indiana,6.0,2.341
Arizona,2.0,2.34
Iowa,3.0,2.33
New York,21.0,2.328
California,7.0,2.319
Washington,5.0,2.311
New York,4.0,2.31
California,37.0,2.309
New York,26.0,2.307
New York,24.0,2.306
Oregon,2.0,2.305
Michigan,2.0,2.297
New York,3.0,2.29
Kansas,3.0,2.265
Indiana,2.0,2.256
Michigan,10.0,2.241
Wisconsin,2.0,2.233
Texas,26.0,2.203
Minnesota,5.0,2.195
Montana,0.0,2.174
California,13.0,2.168
Nevada,1.0,2.15
Indiana,1.0,2.141
Indiana,3.0,2.125
New York,25.0,2.104
New York,12.0,2.103
Minnesota,4.0,2.092
Wisconsin,4.0,2.087
Texas,16.0,2.074
South Dakota,0.0,2.063
New York,15.0,2.048
Indiana,7.0,2.047
Michigan,6.0,2.044
Nevada,2.0,2.041
Arizona,5.0,1.97
North Dakota,0.0,1.853
Wyoming,0.0,1.702
