LSAD,Geog,GEOID_1,STATE,DIST_NAME,Schwartzbe,AreaDist,AreaConPol,Ratio
C2,district,1311,Georgia,11,34.68319353,1101.261155,1452.221285,0.758328752
C2,district,2603,Michigan,3,33.3286735,2703.854333,3629.263572,0.745014596
C2,district,3625,New York,25,47.53587168,518.7440907,602.1168191,0.861533965
C2,district,3607,New York,7,18.47725516,28.29558765,41.39332574,0.683578503
C2,district,3609,New York,9,30.25205726,19.98029189,20.64880569,0.967624578
C2,district,3605,New York,5,33.13023732,57.47712773,64.72995668,0.887952514
C2,district,610,California,10,31.39989756,1845.171491,2399.444894,0.768999319
C2,district,1704,Illinois,4,16.72025898,60.5550081,132.4244376,0.457279708
C2,district,2901,Missouri,1,34.17222604,234.6552984,311.115197,0.754239268
C2,district,3713,North Carolina,13,15.17310529,1876.515023,2866.741031,0.654581283
C2,district,3406,New Jersey,6,22.51946831,232.4592771,485.4668934,0.478836519
C2,district,653,California,53,27.69392637,127.2907336,160.6244863,0.792474028
C2,district,4202,Pennsylvania,2,41.47418566,66.70613502,77.60245524,0.859587945
C2,district,407,Arizona,7,39.46579683,205.7033171,226.7167423,0.907314189
C2,district,1307,Georgia,7,31.86898112,404.9878953,529.6103095,0.764690354
C2,district,4818,Texas,18,20.28083355,232.3430104,363.2693844,0.639588747
C2,district,1224,Florida,24,29.68248829,136.4136549,143.5019545,0.950604857
C2,district,2609,Michigan,9,35.75947855,186.8141543,268.7122956,0.695219971
C2,district,5108,Virginia,8,33.02423908,163.794102,187.220655,0.874871963
C2,district,409,Arizona,9,22.74304669,177.5049054,282.8035904,0.627661428
C2,district,1701,Illinois,1,24.38726207,244.7647242,395.9327325,0.61819775
C2,district,2613,Michigan,13,28.34174735,205.3026886,310.3066319,0.661612313
C2,district,3916,Ohio,16,23.98755969,1228.150354,2134.937451,0.575262921
C2,district,1711,Illinois,11,23.73570699,271.403012,508.8825295,0.533331361
C2,district,3704,North Carolina,4,13.35855616,735.0461216,1231.09164,0.597068567
C2,district,1210,Florida,10,27.23528422,524.4025928,579.111591,0.905529437
C2,district,1222,Florida,22,22.3469682,180.4749814,247.022396,0.730601696
C2,district,4807,Texas,7,24.92763139,164.7674184,288.1261992,0.571858508
C2,district,4830,Texas,30,28.33010377,365.4821395,481.1349213,0.759625052
C2,district,4820,Texas,20,24.94280339,195.1448852,277.3594377,0.703581197
C2,district,4826,Texas,26,45.39273613,978.7277736,1064.880396,0.919096433
C2,district,405,Arizona,5,50.76470262,305.7463338,329.7685626,0.927154279
C2,district,4705,Tennessee,5,31.96266832,1274.974212,1604.211447,0.794766933
C2,district,4709,Tennessee,9,27.7467067,512.2449082,738.3655074,0.693755197
C2,district,1709,Illinois,9,27.41510989,102.8127752,168.6965381,0.609453972
C2,district,643,California,43,35.18988325,65.0945044,73.38254472,0.88705706
C2,district,619,California,19,29.23163313,933.0474667,1162.027949,0.802947526
C2,district,641,California,41,29.88182007,331.7078452,415.7092152,0.797932384
C2,district,646,California,46,41.21048379,74.04747263,86.41296893,0.856902309
C2,district,640,California,40,32.02691548,57.86706048,79.75572981,0.725553645
C2,district,648,California,48,31.18355641,154.1105459,207.1169469,0.744075017
C2,district,2505,Massachusetts,5,24.72599424,282.2780351,382.1056499,0.738743421
C2,district,4201,Pennsylvania,1,19.94961408,68.55546348,119.1891056,0.575182297
C2,district,5103,Virginia,3,18.5337057,778.6970807,1106.541209,0.703721718
C2,district,5111,Virginia,11,20.93307388,159.8526677,340.0466534,0.470090401
C2,district,5307,Washington,7,31.34152048,277.6320761,332.2733617,0.835553216
C2,district,2601,Michigan,1,40.43792861,26855.27771,58843.83653,0.456382168
C2,district,2614,Michigan,14,21.29978134,177.1631894,396.7639169,0.446520416
C2,district,2608,Michigan,8,39.13044833,1542.945907,2018.727226,0.764316192
C2,district,3614,New York,14,35.69458704,43.81930123,61.52863459,0.712177371
C2,district,3615,New York,15,48.83662199,22.25057201,22.25057201,1
C2,district,3401,New Jersey,1,27.65409263,370.1759178,509.6361315,0.726353363
C2,district,1216,Florida,16,39.5265361,1404.715864,1575.172657,0.891785327
C2,district,1223,Florida,23,29.32085567,197.647153,220.7306816,0.895422202
C2,district,2407,Maryland,7,19.69280986,508.9839918,896.0075312,0.568057716
C2,district,5501,Wisconsin,1,40.09760154,1769.143648,1993.090229,0.887638514
C2,district,903,Connecticut,3,30.43705665,494.7262849,709.1379125,0.69764467
C2,district,1214,Florida,14,30.51701945,368.5924979,434.1982283,0.848903736
C2,district,3613,New York,13,38.11219164,4.125219388,4.162839346,0.990962909
C2,district,3606,New York,6,39.23943256,24.65187803,31.12368863,0.792061581
C2,district,4216,Pennsylvania,16,23.51203253,1057.057876,1672.787098,0.631914173
C1,district,3000,Montana,0,45.99329923,146953.0818,159075.6634,0.923793612
C2,district,3409,New Jersey,9,27.80653727,104.370847,160.3873215,0.650742503
C2,district,2705,Minnesota,5,45.56398458,150.2790693,167.3527765,0.897977747
C2,district,634,California,34,31.096994,41.9069538,57.01618408,0.735001026
C2,district,3908,Ohio,8,32.84406995,2467.278885,3982.763413,0.619489191
C2,district,3907,Ohio,7,24.81733864,3914.219276,6383.093948,0.613216617
C2,district,4104,Oregon,4,39.02318828,17422.59522,20135.54926,0.865265456
C2,district,5101,Virginia,1,26.8183515,4580.171677,6275.376223,0.729864077
C2,district,2202,Louisiana,2,14.85349444,1478.568411,3819.465701,0.387113939
C2,district,1212,Florida,12,39.15796229,934.4297912,1216.782789,0.76795119
C2,district,3102,Nebraska,2,40.68016454,537.2524921,608.1539708,0.88341525
C2,district,635,California,35,27.92451786,172.4024651,254.780475,0.676670632
C2,district,1203,Florida,3,35.75407258,3840.86242,4258.853324,0.901853651
C2,district,3201,Nevada,1,46.52217503,102.5629158,111.9828689,0.91588041
C2,district,4803,Texas,3,40.76950721,522.266893,590.7988415,0.884001214
C2,district,3617,New York,17,38.96201092,437.1065472,477.7252892,0.914974687
C2,district,1227,Florida,27,37.13028916,142.8140408,223.988535,0.637595316
C2,district,1301,Georgia,1,28.50767502,8493.443936,11386.05651,0.745951324
C2,district,1309,Georgia,9,34.29767958,5368.290696,6342.062345,0.846458203
C2,district,1713,Illinois,13,27.42040567,5859.212033,10492.25443,0.558432134
C2,district,1803,Indiana,3,47.04969413,4234.632258,4707.727072,0.899506746
C2,district,1904,Iowa,4,42.31972502,22848.72254,25872.16083,0.883139321
C2,district,2701,Minnesota,1,37.79618198,12185.20783,14666.75903,0.830804392
C2,district,3913,Ohio,13,21.61098224,918.1275066,1535.494952,0.597935868
C2,district,4002,Oklahoma,2,31.38500181,21746.68448,26928.74583,0.807563955
C2,district,4813,Texas,13,31.71093653,38641.83808,57495.27611,0.672087182
C1,district,5000,Vermont,0,39.53690841,9627.593507,11596.33987,0.830226918
C2,district,603,California,3,25.69968431,6325.056104,10053.14773,0.629161759
C2,district,4501,South Carolina,1,18.11107214,1779.02292,3551.815495,0.500877065
C2,district,4817,Texas,17,26.12568973,7756.499828,11516.50521,0.673511598
C2,district,4825,Texas,25,22.3347202,7754.034855,12749.77028,0.608170554
C2,district,636,California,36,38.21178212,5999.030944,6365.538463,0.942423171
C2,district,1201,Florida,1,38.10331204,4440.36962,5385.659524,0.824480196
C2,district,1302,Georgia,2,33.62741033,9758.599263,11727.79757,0.83209138
C2,district,1804,Indiana,4,42.57513336,6376.156386,7799.644639,0.817493191
C2,district,1903,Iowa,3,42.92221713,8832.642574,10562.33611,0.836239491
C2,district,2102,Kentucky,2,20.38899776,7320.958317,11292.69347,0.6482916
C2,district,2302,Maine,2,33.08702376,29770.75587,35201.71137,0.845718993
C2,district,3503,New Mexico,3,39.3640981,45090.61879,56733.03247,0.79478598
C2,district,2904,Missouri,4,29.91590557,14728.64614,21703.83559,0.678619504
C2,district,3611,New York,11,41.07854072,74.51633107,101.448691,0.734522352
C2,district,4836,Texas,36,28.92612507,7594.021025,9655.576443,0.786490695
C2,district,4801,Texas,1,29.98674969,8265.70851,10645.72651,0.776434422
C2,district,5110,Virginia,10,21.751969,1388.800649,2292.994922,0.605671053
C2,district,5306,Washington,6,42.52652795,7528.752175,8883.804676,0.84746935
C2,district,106,Alabama,6,23.05708664,4226.414771,6116.575855,0.690977251
C2,district,5301,Washington,1,32.79340738,6369.291895,7992.933918,0.796865326
C2,district,645,California,45,36.18698638,302.6466448,369.5433891,0.818974588
C2,district,501,Arkansas,1,21.51397496,19837.53878,27967.98339,0.709294571
C2,district,803,Colorado,3,37.37058069,49852.74746,63220.58198,0.788552492
C2,district,2503,Massachusetts,3,28.20746832,782.3762895,1141.417062,0.68544296
C2,district,2612,Michigan,12,30.47965653,423.7924883,632.9569218,0.669543967
C2,district,2707,Minnesota,7,34.4169376,35394.39092,48446.10326,0.730593145
C2,district,2803,Mississippi,3,24.81175633,12888.02711,20147.24312,0.639691844
C2,district,3103,Nebraska,3,39.15393525,67840.21864,82289.99304,0.824404233
C2,district,3906,Ohio,6,23.11033527,7233.355215,12003.7739,0.602590091
C2,district,4701,Tennessee,1,28.4237583,4241.14679,5484.893683,0.773241385
C2,district,4005,Oklahoma,5,31.39226873,2085.643726,3103.108833,0.672114269
C2,district,4211,Pennsylvania,11,21.62107411,3444.499959,6035.288538,0.570726642
C2,district,404,Arizona,4,21.27634786,33408.23988,53444.72565,0.625098913
C2,district,613,California,13,46.1337497,108.5028136,116.2524015,0.933338255
C2,district,605,California,5,27.76643043,1817.419274,2517.082637,0.722034012
C2,district,1204,Florida,4,23.84530305,1739.645175,2411.748214,0.721321225
C2,district,1601,Idaho,1,27.05640154,39980.67863,54261.74072,0.736811575
C2,district,2101,Kentucky,1,20.9174142,12565.00008,20092.19909,0.62536709
C2,district,2506,Massachusetts,6,34.01256521,579.8245966,780.1016576,0.743267997
C2,district,2708,Minnesota,8,39.13885572,30239.16747,39930.35756,0.757297688
C2,district,3702,North Carolina,2,18.93482069,2733.181721,3811.806538,0.717030546
C2,district,4833,Texas,33,16.90017945,224.0146558,470.9812925,0.475633872
C2,district,1306,Georgia,6,31.27020455,319.6804414,449.3080967,0.711494949
C2,district,105,Alabama,5,31.78358681,3852.73637,4936.392604,0.780476084
C2,district,401,Arizona,1,28.88189864,55172.5078,74305.61278,0.742507944
C2,district,1312,Georgia,12,25.96594066,8323.894525,12166.7264,0.684152356
C2,district,2205,Louisiana,5,18.57373791,14958.26932,26008.00099,0.575141062
C2,district,2602,Michigan,2,43.53616299,3413.043367,4085.394853,0.835425581
C2,district,2605,Michigan,5,30.64343299,2431.068713,4109.058825,0.591636386
C2,district,3403,New Jersey,3,25.86844439,998.470667,1422.045315,0.702137025
C2,district,1809,Indiana,9,36.6306702,4554.376695,5651.491819,0.80587159
C2,district,1712,Illinois,12,28.65470153,5196.138355,7872.570758,0.660030696
C2,district,2206,Louisiana,6,16.00024617,4442.193275,7288.402271,0.609487938
C2,district,2509,Massachusetts,9,32.01693662,1577.158687,3527.618758,0.447088757
C2,district,2702,Minnesota,2,36.22634347,2527.525533,3395.934466,0.744279832
C2,district,2903,Missouri,3,29.92179536,6975.95014,8992.400732,0.775760595
C2,district,4707,Tennessee,7,29.49014594,9327.858728,12951.73588,0.720201432
C2,district,4834,Texas,34,20.25750203,9099.566563,16202.20394,0.561625233
C2,district,632,California,32,27.23249595,136.9742415,179.0384909,0.765054714
C2,district,1207,Florida,7,28.93546356,421.9103687,518.7096907,0.813384397
C2,district,1703,Illinois,3,30.37423898,251.4641487,340.6613913,0.738164509
C2,district,2404,Maryland,4,18.65475309,322.2388436,540.8873574,0.595759615
C2,district,4829,Texas,29,20.25812799,201.698875,295.0339145,0.683646405
C2,district,5309,Washington,9,32.16062428,207.1117115,326.1143493,0.635089231
C2,district,3712,North Carolina,12,11.02899687,413.3957475,518.6460052,0.797067255
C2,district,611,California,11,33.0119383,495.8880935,644.6713864,0.769210646
C2,district,1218,Florida,18,40.69484826,1694.726051,2089.805879,0.81094903
C2,district,1602,Idaho,2,34.86093299,43680.69486,53613.27634,0.814736533
C2,district,1808,Indiana,8,26.75884644,7357.927609,10329.07567,0.712351022
C2,district,2003,Kansas,3,44.15157594,766.6603468,903.2266895,0.848801697
C2,district,2501,Massachusetts,1,35.90149234,2380.188712,3195.766269,0.744794366
C2,district,2706,Minnesota,6,31.08216034,3031.5942,4861.823259,0.623550886
C2,district,3203,Nevada,3,34.455423,2890.207176,3151.202284,0.917176022
C2,district,3619,New York,19,32.42851969,8084.858689,10566.757,0.765122042
C2,district,5305,Washington,5,43.26320623,15704.63364,18603.82349,0.844161613
C2,district,1313,Georgia,13,24.95494375,704.419331,1172.847131,0.600606262
C2,district,2703,Minnesota,3,38.25949168,578.3524524,756.5990385,0.764410768
C2,district,4903,Utah,3,28.46699267,20252.67663,32037.65963,0.632152188
C2,district,5403,West Virginia,3,25.18337999,9834.189171,14517.14224,0.677419082
C2,district,614,California,14,31.05698698,268.3393719,385.1718313,0.696674445
C2,district,608,California,8,30.55267737,33048.85921,40307.32927,0.819921831
C2,district,1219,Florida,19,30.85086715,1052.708532,1646.261078,0.639454183
C2,district,1314,Georgia,14,34.54253294,3623.783693,4647.086376,0.779796931
C2,district,2201,Louisiana,1,22.74923164,6663.984048,11991.04196,0.555746871
C2,district,1502,Hawaii,2,12.86197286,6255.135321,27954.71837,0.223759554
C2,district,1805,Indiana,5,39.684908,1934.004264,2489.091943,0.776991895
C2,district,1807,Indiana,7,48.86275904,309.6631285,323.1734156,0.958194931
C2,district,3411,New Jersey,11,30.24854476,523.656364,721.5603413,0.725727751
C2,district,4208,Pennsylvania,8,32.90559225,721.4705278,924.9529492,0.780007814
C2,district,4831,Texas,31,35.40467326,2215.782698,2691.342638,0.823300113
C2,district,3608,New York,8,28.90823587,47.10644501,93.13034654,0.50581198
C2,district,4003,Oklahoma,3,32.94882562,34431.20018,49282.95393,0.698643191
C2,district,4203,Pennsylvania,3,29.99479433,3902.723765,5694.581773,0.685339841
C2,district,5102,Virginia,2,27.08022447,1543.762116,4455.726131,0.346467011
C2,district,5502,Wisconsin,2,44.78289579,4610.708994,5240.392489,0.879840394
C2,district,630,California,30,30.98958413,146.0132473,193.0756742,0.756248802
C2,district,1215,Florida,15,31.75690062,1136.92494,1485.916957,0.765133566
C2,district,4702,Tennessee,2,21.3518993,2439.936477,4384.473571,0.556494739
C2,district,4832,Texas,32,23.70562331,193.356297,308.4320231,0.626900849
C2,district,649,California,49,30.41556523,585.2176215,826.9457956,0.707685588
C2,district,631,California,31,24.22473029,232.9391965,360.1508034,0.646782387
C2,district,901,Connecticut,1,27.52911937,704.9836349,1019.317051,0.691623508
C2,district,1303,Georgia,3,32.76929395,3937.316557,4957.646411,0.794190676
C2,district,1217,Florida,17,36.16767115,6200.903168,7793.25796,0.795675339
C2,district,1715,Illinois,15,28.09269338,14875.30721,21032.70197,0.707246612
C2,district,1806,Indiana,6,42.70811038,6255.896028,7227.775762,0.865535434
C2,district,2104,Kentucky,4,20.80991286,4490.874452,8197.240376,0.54785199
C2,district,2403,Maryland,3,12.82760078,291.0422511,1018.962667,0.28562602
C2,district,2704,Minnesota,4,47.8001964,370.3534948,414.2295447,0.894077932
C2,district,2906,Missouri,6,28.71963349,18382.49843,24130.57849,0.761792695
C2,district,3204,Nevada,4,42.28674505,51209.25219,58552.27695,0.874590278
C2,district,3905,Ohio,5,36.86307422,5661.214183,7351.117462,0.770116137
C2,district,3904,Ohio,4,25.5560714,4704.445959,8656.208437,0.543476511
C2,district,4218,Pennsylvania,18,25.77781526,2074.996831,3104.670079,0.668346967
C2,district,4503,South Carolina,3,32.89902759,5469.515747,6351.685573,0.861112485
C2,district,4706,Tennessee,6,31.3656154,6609.499136,9266.837084,0.713242186
C2,district,4823,Texas,23,27.46458279,58340.61788,79951.58388,0.729699339
C2,district,5402,West Virginia,2,18.02515902,8087.807958,15752.89259,0.513417324
C2,district,5506,Wisconsin,6,35.5759375,5220.174832,7544.347953,0.691931876
C2,district,5107,Virginia,7,22.45991024,3140.538745,4572.836118,0.68678139
C2,district,806,Colorado,6,25.50607243,470.0092626,843.8798664,0.55696229
C2,district,3610,New York,10,16.65490585,13.17165921,18.04152196,0.730074726
C2,district,1213,Florida,13,38.73266679,285.78291,315.3064953,0.906365439
C2,district,5310,Washington,10,32.52651441,910.1080662,1201.19841,0.757666726
C2,district,1202,Florida,2,35.9237649,11676.05503,19542.28252,0.597476524
C2,district,1220,Florida,20,27.77774299,2401.097487,3196.752962,0.751105111
C2,district,1225,Florida,25,33.30028062,3634.360493,5299.78876,0.685755727
C2,district,1226,Florida,26,23.93344792,3118.503751,7129.403918,0.437414374
C2,district,1209,Florida,9,34.57733409,2643.656261,2993.200248,0.883220648
