LSAD,Geog,GEOID_1,STATE,DIST_NAME,Schwartzbe,AreaDist,AreaConPol,Ratio
C2,district,3707,North Carolina,7,21.04756649,6084.954588,7954.769673,0.764944158
C2,district,1706,Illinois,6,25.1046061,396.0374819,654.0531342,0.605512704
C2,district,1710,Illinois,10,30.00149582,321.5555055,491.5941203,0.654107712
C2,district,1705,Illinois,5,24.15142628,97.60863122,190.6379125,0.512010596
C2,district,2106,Kentucky,6,26.95646167,4338.318073,5682.788769,0.763413572
C2,district,1716,Illinois,16,32.13744712,7983.015079,11893.47209,0.671209805
C2,district,3706,North Carolina,6,22.94409035,3986.289879,5218.301959,0.76390556
C2,district,3703,North Carolina,3,19.97871897,10574.73481,13578.72184,0.778772475
C2,district,3711,North Carolina,11,27.94350375,6676.84492,8094.891549,0.824822035
C2,district,3709,North Carolina,9,16.77525629,3918.787624,6106.0748,0.641785067
C2,district,3708,North Carolina,8,29.08182851,2995.069271,4436.347032,0.6751206
C2,district,1221,Florida,21,31.52057696,250.3762305,357.3390902,0.700668461
C2,district,4827,Texas,27,23.94403244,10388.84034,17079.18757,0.608274855
C2,district,4814,Texas,14,23.2939037,2996.398506,5229.438334,0.572986679
C2,district,4805,Texas,5,24.71837339,5215.681364,7645.453387,0.682193861
C2,district,4824,Texas,24,33.82937192,272.3613752,343.0299562,0.793987144
C2,district,4811,Texas,11,27.43355055,28065.40915,45547.7252,0.616175869
C2,district,4812,Texas,12,31.74786849,1481.54568,1915.120523,0.773604409
C2,district,4808,Texas,8,30.66462351,6218.260833,7364.912298,0.844308877
C2,district,4802,Texas,2,18.23642123,334.5239998,772.5887639,0.432991024
C2,district,4821,Texas,21,26.908251,5920.488608,7624.438242,0.776514731
C2,district,4804,Texas,4,27.45468562,10542.04188,13379.55201,0.787921889
C2,district,4835,Texas,35,13.64208414,614.1726832,1612.549802,0.380870521
C2,district,4809,Texas,9,23.08908746,169.7130382,268.4669125,0.632156256
C2,district,4819,Texas,19,33.23125183,25944.10267,36745.15398,0.706055081
C2,district,403,Arizona,3,29.41815183,15658.67975,20804.61821,0.75265403
C2,district,406,Arizona,6,35.12655928,623.9621033,723.1174468,0.862877954
C2,district,3501,New Mexico,1,33.47048389,4616.364136,6453.361434,0.715342567
C2,district,3502,New Mexico,2,40.16338618,71881.74812,84568.10037,0.849986553
C2,district,4901,Utah,1,34.98999533,20800.79667,30759.62803,0.676236938
C2,district,4904,Utah,4,30.27421155,2699.49916,4189.73512,0.644312608
C2,district,2905,Missouri,5,26.10185048,2447.404571,3535.624567,0.692212797
C2,district,1802,Indiana,2,44.32536206,4009.749747,4852.163194,0.826383942
C2,district,4103,Oregon,3,31.05713203,1116.402858,1565.43991,0.713155996
C2,district,4105,Oregon,5,24.88445935,5265.619433,8636.896897,0.609665658
C2,district,2103,Kentucky,3,36.85526367,331.2772754,419.5442137,0.789612309
C2,district,4703,Tennessee,3,21.62982528,4677.869241,7625.326301,0.613464796
C2,district,1718,Illinois,18,29.95174601,10671.45088,14391.72106,0.741499285
C2,district,2105,Kentucky,5,30.87693027,11351.46846,14483.46299,0.783753752
C2,district,1707,Illinois,7,24.57092993,67.37496744,117.9012513,0.571452522
C2,district,1702,Illinois,2,38.48450161,1089.672865,1346.612377,0.809195641
C2,district,1714,Illinois,14,28.00361179,1616.501193,2453.883976,0.658752088
C2,district,4708,Tennessee,8,30.60026361,6974.852948,8459.415219,0.824507696
C2,district,4205,Pennsylvania,5,32.08869991,10809.32544,14670.92182,0.736785703
C2,district,4213,Pennsylvania,13,19.73382798,160.827625,236.2972109,0.680615841
C2,district,4209,Pennsylvania,9,23.08364382,5789.651955,8685.836347,0.666562404
C2,district,4215,Pennsylvania,15,23.17628402,1291.686513,2145.479406,0.602050297
C2,district,4504,South Carolina,4,33.05193743,1336.338852,1635.905643,0.816880153
C2,district,4505,South Carolina,5,27.81971108,5613.837049,7388.761062,0.759780564
C2,district,4102,Oregon,2,43.38852026,70163.86282,80651.29141,0.86996577
C2,district,1708,Illinois,8,30.36840531,205.0142547,338.1912415,0.606208055
C2,district,504,Arkansas,4,33.82443853,22758.43648,28472.02909,0.799326118
C2,district,502,Arkansas,2,31.45244577,5072.588404,7079.197766,0.716548481
C2,district,624,California,24,25.06009576,7036.107821,11394.13577,0.617520096
C2,district,650,California,50,33.13524298,2801.982032,3438.545695,0.814874159
C2,district,623,California,23,27.2656837,9938.921045,13745.515,0.723066472
C2,district,652,California,52,24.12400394,292.1276209,480.1577643,0.608399244
C2,district,618,California,18,33.95927077,697.3535023,858.4472228,0.812342895
C2,district,620,California,20,39.65791425,4908.962104,5738.340447,0.855467212
C2,district,642,California,42,22.46644471,936.8695581,1502.853301,0.623393885
C2,district,626,California,26,25.94400187,979.7790072,2913.608438,0.336276829
C2,district,651,California,51,29.08435825,5105.084321,6780.233002,0.752936414
C2,district,601,California,1,34.51333157,28860.92866,33265.2237,0.867600619
C2,district,617,California,17,35.91218577,197.0503555,235.1014931,0.838150166
C2,district,616,California,16,29.84087725,2897.933758,3859.29752,0.750896696
C2,district,633,California,33,26.77910268,297.7769736,686.1116851,0.434006562
C2,district,615,California,15,36.00950299,597.7972794,769.9623054,0.776398111
C2,district,612,California,12,34.3721254,44.00786547,45.79521058,0.960970916
C2,district,638,California,38,34.70589468,89.90138517,132.7531995,0.677206918
C2,district,647,California,47,23.06469717,276.0333472,1649.86032,0.167307101
C2,district,621,California,21,26.94335862,6725.557536,9325.02069,0.721237814
C2,district,604,California,4,32.75968388,13170.75862,15934.36363,0.826563202
C2,district,622,California,22,27.08956423,1159.461821,2075.991439,0.558509924
C2,district,1501,Hawaii,1,35.58359256,216.8466982,331.0073348,0.65511146
C2,district,3202,Nevada,2,48.99080192,56355.79705,62975.56891,0.894883493
C2,district,2504,Massachusetts,4,24.77194592,694.675875,1030.199087,0.67431226
C2,district,2507,Massachusetts,7,18.56003844,88.63145678,137.266383,0.64568946
C2,district,2502,Massachusetts,2,32.68181847,1734.315112,2198.646945,0.788810189
C2,district,2508,Massachusetts,8,23.16654161,350.4572937,601.9554425,0.582198065
C2,district,2804,Mississippi,4,38.3894443,8150.588202,9557.427791,0.852801442
C2,district,2802,Mississippi,2,22.21721431,15839.7097,19978.754,0.792827706
C2,district,4217,Pennsylvania,17,16.86716931,1744.025681,3733.275714,0.467156946
C2,district,4210,Pennsylvania,10,23.20701601,8490.824284,14263.94597,0.595264754
C2,district,4204,Pennsylvania,4,37.78271768,1518.31713,1768.583286,0.858493429
C2,district,4507,South Carolina,7,31.30629899,5448.867595,6880.288078,0.791953409
C2,district,4502,South Carolina,2,24.80244898,3086.600559,4240.232573,0.727931901
C2,district,5105,Virginia,5,23.42501762,10162.08815,15620.2724,0.650570483
C2,district,5104,Virginia,4,27.41670417,3775.26614,5001.802488,0.754781131
C2,district,5109,Virginia,9,24.83666123,9165.952229,13632.6347,0.672353689
C2,district,5106,Virginia,6,23.71335871,5965.78946,8562.551897,0.696730313
C2,district,1211,Florida,11,34.610251,2691.050949,3392.734124,0.793180618
C2,district,1208,Florida,8,36.90996244,2098.238949,2864.973367,0.732376424
C2,district,2907,Missouri,7,42.57809852,6357.887451,7751.877165,0.820173916
C2,district,2902,Missouri,2,33.7022116,490.0213187,617.9356619,0.792997312
C2,district,5303,Washington,3,33.32999944,9391.980955,13165.96282,0.713353143
C2,district,5304,Washington,4,31.42227004,19555.75243,29663.35568,0.659256244
C2,district,5302,Washington,2,35.78896905,1593.308065,2259.290417,0.705224992
C2,district,5308,Washington,8,28.80813182,7502.840081,11304.0438,0.663730627
C2,district,5401,West Virginia,1,21.62832513,6380.560881,13600.8816,0.469128478
C2,district,2607,Michigan,7,35.84147733,4312.954643,6126.814412,0.703947329
C2,district,2610,Michigan,10,44.62151777,4287.600864,4877.973666,0.878971712
C2,district,2604,Michigan,4,42.41048769,8661.564292,10715.31453,0.808335049
C2,district,2611,Michigan,11,29.48476536,451.5403721,686.8123489,0.657443584
C2,district,3601,New York,1,41.8493725,918.4683044,1466.077164,0.626480193
C2,district,3627,New York,27,37.62989489,4013.741192,5208.914095,0.770552388
C2,district,3624,New York,24,43.37149536,2485.329095,3270.486182,0.759926493
C2,district,3616,New York,16,39.35712433,86.48092503,110.006575,0.786143237
C2,district,3623,New York,23,36.59122357,7569.718611,9800.998791,0.772341551
C2,district,3612,New York,12,47.55445087,27.90230336,29.56457076,0.94377502
C2,district,3620,New York,20,37.2144383,1274.703312,1618.125687,0.787765327
C2,district,3603,New York,3,43.66484494,293.3633756,348.1115555,0.842728059
C2,district,3621,New York,21,42.95916655,15982.72684,17419.78419,0.917504296
C2,district,3626,New York,26,43.3551978,238.2034654,296.3804187,0.803708512
C2,district,3622,New York,22,30.52150927,5206.725513,8050.963237,0.646720816
C2,district,101,Alabama,1,24.73526253,6242.511746,9269.065553,0.673478002
C2,district,104,Alabama,4,26.61670312,9098.35026,14553.02241,0.625186302
C2,district,107,Alabama,7,22.98636895,10284.98918,16493.09503,0.623593641
C2,district,102,Alabama,2,28.19266177,10272.57646,13791.31086,0.744858597
C2,district,3404,New Jersey,4,27.96435568,696.2801698,961.1363186,0.724434356
C2,district,3405,New Jersey,5,26.83232021,1037.690966,1734.432608,0.598288433
C2,district,3402,New Jersey,2,32.86754739,2279.93222,2892.09586,0.788332175
C2,district,3412,New Jersey,12,24.70708905,401.4068787,647.8625205,0.619586511
C2,district,805,Colorado,5,39.04625044,7301.386477,9143.821192,0.798504949
C2,district,804,Colorado,4,39.51513831,38276.70338,47011.71391,0.814195021
C2,district,807,Colorado,7,27.37853414,351.2509267,527.497771,0.665881348
C2,district,802,Colorado,2,31.06648132,7631.702432,9966.790233,0.765713159
C2,district,1206,Florida,6,29.36573702,2409.366856,3179.250899,0.757841055
C2,district,1205,Florida,5,12.5192761,3901.115774,5508.12684,0.708247266
C2,district,904,Connecticut,4,31.53557752,490.8443199,716.6955868,0.684871414
C2,district,902,Connecticut,2,42.66805457,2046.624746,2456.536748,0.833134187
C2,district,4401,Rhode Island,1,31.0199562,383.8895491,624.2419828,0.61496913
C2,district,4402,Rhode Island,2,33.78587203,853.1351744,1168.117716,0.730350343
C2,district,408,Arizona,8,27.24704719,540.4475745,802.1887742,0.673716202
C2,district,644,California,44,32.02422405,91.83704079,117.8149284,0.779502581
C2,district,3410,New Jersey,10,24.16403869,80.89790959,135.0160428,0.599172572
C2,district,2004,Kansas,4,40.84188407,14392.02984,16697.27909,0.861938629
C2,district,2908,Missouri,8,34.82929723,20047.5638,24667.0128,0.812727668
C2,district,4001,Oklahoma,1,28.50522241,1673.051133,3399.009329,0.492217282
C2,district,4004,Oklahoma,4,29.82111315,9928.271501,13013.40411,0.76292655
C2,district,2401,Maryland,1,25.49267558,4588.43154,8946.301492,0.512885861
C2,district,2405,Maryland,5,32.12757416,1613.13743,2224.274107,0.725242192
C2,district,2402,Maryland,2,17.64312395,442.9528573,947.3206795,0.467584913
C2,district,2406,Maryland,6,17.40294405,1975.536301,5096.92535,0.387593729
C2,district,3901,Ohio,1,26.58445968,692.4072837,1118.214774,0.619207776
C2,district,3902,Ohio,2,30.58307786,3255.147537,3973.928707,0.819125801
C2,district,3903,Ohio,3,20.51511703,241.1707775,348.6731568,0.691681516
C2,district,3910,Ohio,10,40.12770665,1140.390936,1305.883795,0.873271374
C2,district,3911,Ohio,11,26.55814491,237.5044334,506.0153712,0.469362092
C2,district,3909,Ohio,9,31.98714585,538.9097213,1686.675544,0.319510011
C2,district,3912,Ohio,12,26.63565903,2286.387517,3684.191865,0.620594041
C2,district,2001,Kansas,1,42.2035635,52770.64808,60052.62591,0.87874006
C2,district,2002,Kansas,2,37.02897378,14381.62768,19404.5578,0.741146891
C2,district,3301,New Hampshire,1,25.23032591,2648.320139,4057.004326,0.652777253
C2,district,3302,New Hampshire,2,24.71738749,6632.890883,9385.727336,0.70669972
C2,district,5505,Wisconsin,5,39.83655107,1965.311588,2346.061569,0.83770674
C2,district,5507,Wisconsin,7,34.155251,24032.00983,33236.17822,0.723067787
C2,district,5508,Wisconsin,8,37.99836014,7066.698604,10319.05062,0.684820616
C1,district,200,Alaska,0,20.0660598,602573.7032,-675027.4025,-0.892665544
C1,district,3800,North Dakota,0,53.96518618,70708.73221,71451.60413,0.989603146
C1,district,4600,South Dakota,0,48.47324037,77111.60542,82341.71231,0.936482899
C1,district,5600,Wyoming,0,58.73758664,97818.74471,97731.89145,1.000888689
C2,district,2203,Louisiana,3,32.90148186,8059.156702,10152.49391,0.793810543
C2,district,5503,Wisconsin,3,26.23040095,11413.26536,19388.41721,0.58866411
C1,district,1000,Delaware,0,39.51455435,2055.859657,2721.660133,0.755369722
C2,district,4704,Tennessee,4,23.76367062,6095.263482,8830.71984,0.690234046
C2,district,1717,Illinois,17,26.83301852,7048.843095,13079.05269,0.53894141
C2,district,602,California,2,24.91664163,13080.95242,21787.95766,0.600375337
C2,district,2801,Mississippi,1,36.27468461,10729.14252,13135.87808,0.816781524
C2,district,2606,Michigan,6,48.93302672,3660.108308,4214.007746,0.868557565
C2,district,3618,New York,18,33.53905548,1422.407603,1948.647034,0.729946254
C2,district,3710,North Carolina,10,28.77514297,2637.035925,3690.537363,0.714539826
C2,district,1310,Georgia,10,31.62009175,7293.171361,8976.813336,0.812445473
C2,district,4816,Texas,16,48.21859261,709.649187,731.1290545,0.970620963
C2,district,2301,Maine,1,25.48824429,3865.057829,7182.124338,0.538149668
C2,district,3915,Ohio,15,25.71683727,4780.062382,6922.159409,0.690544973
C2,district,4810,Texas,10,23.77039469,5138.79252,7054.546558,0.72843697
C2,district,4206,Pennsylvania,6,18.45785701,876.3425661,1621.953344,0.540300724
C2,district,3602,New York,2,41.15265982,231.9207074,271.2526117,0.854998984
C2,district,2204,Louisiana,4,24.81375095,12851.50267,20954.15589,0.613315217
C2,district,1304,Georgia,4,34.54650211,483.3802247,584.171643,0.827462665
C2,district,1308,Georgia,8,24.95340203,8881.969586,13254.41263,0.67011416
C2,district,3101,Nebraska,1,35.2245232,8983.715911,10772.17064,0.833974527
C2,district,628,California,28,28.33259956,225.1713424,284.9685252,0.790162149
C2,district,4822,Texas,22,21.95545331,1057.833785,1478.667796,0.715396513
C2,district,1901,Iowa,1,34.45141598,12134.59309,17992.48427,0.67442566
C2,district,3408,New Jersey,8,20.5923526,66.03024438,116.6630072,0.565991277
C2,district,5504,Wisconsin,4,47.91916728,124.3144737,183.1804043,0.678645045
C2,district,1801,Indiana,1,46.71198804,1179.778856,1520.461174,0.775934878
C2,district,4101,Oregon,1,33.35970118,3088.119227,4290.34111,0.719784079
C2,district,4506,South Carolina,6,17.92534104,8400.840993,12446.33101,0.674965256
C2,district,905,Connecticut,5,30.85511611,1267.412184,1704.883038,0.743401251
C2,district,2408,Maryland,8,17.97696437,891.8566376,1614.241733,0.552492616
C2,district,4212,Pennsylvania,12,19.56377877,2195.692956,4993.696424,0.439692919
C2,district,503,Arkansas,3,23.18775277,5533.447845,10540.23614,0.52498329
C2,district,1902,Iowa,2,35.83092642,12426.28233,16870.03527,0.736588995
C2,district,3705,North Carolina,5,25.40649361,3995.330627,5166.024232,0.773385963
C2,district,4207,Pennsylvania,7,13.68743843,890.7664596,1851.558515,0.481090094
C2,district,3701,North Carolina,1,12.86890387,6076.846737,8739.340019,0.695343896
C2,district,4828,Texas,28,20.89255094,9506.564353,18970.01231,0.501136436
C2,district,4815,Texas,15,20.23593065,7874.37167,15076.78329,0.522284596
C2,district,402,Arizona,2,42.73024456,7897.194236,8873.521162,0.889972999
C2,district,4902,Utah,2,38.15846488,41149.50796,50216.1698,0.819447364
C2,district,639,California,39,34.7783765,201.456018,254.1245574,0.79274518
C2,district,625,California,25,29.48221855,1725.822456,2467.569991,0.699401623
C2,district,609,California,9,39.05471546,1317.41779,1539.789296,0.855583159
C2,district,607,California,7,43.11773696,557.585631,605.0132115,0.921609017
C2,district,103,Alabama,3,27.94893098,7744.063206,10539.82546,0.734743021
C2,district,3407,New Jersey,7,27.00473436,1001.915953,1382.087589,0.724929419
C2,district,4214,Pennsylvania,14,23.19040728,208.4344148,350.4456989,0.594769505
C2,district,637,California,37,43.31090989,54.25312817,57.0750248,0.950558118
C2,district,4806,Texas,6,29.69288621,2242.078041,2899.916437,0.773152637
C2,district,3604,New York,4,43.2989108,136.5831769,146.3950957,0.932976451
C2,district,606,California,6,29.93637966,181.7479039,258.2223449,0.703842667
C2,district,1305,Georgia,5,40.08157704,276.8801125,299.1605822,0.925523378
C2,district,629,California,29,31.93838843,78.24169762,115.9723738,0.674658068
C2,district,801,Colorado,1,22.9372916,201.6656154,337.2867316,0.59790557
C2,district,3914,Ohio,14,41.17036258,2005.562586,2405.635624,0.833693418
C2,district,627,California,27,35.61353464,702.9361006,877.3635869,0.801191332
